gc_bin,n,gc_mid,mean_bias_step1,se_bias_step1,mean_bias_step2,se_bias_step2
0,20,25.96,-15.727851938999999,5.25823649450394,-22.507320166250523,5.659952965987256
1,154,28.558441558441558,-2.8763693406493513,1.8508328196993398,-11.406521341750897,1.755544366579262
2,376,31.154787234042555,-2.2555038780851064,1.0976068139310042,-8.477873308165798,1.0834301663033117
3,665,33.81142857142857,-1.8708502743609023,0.9439591191446361,-7.284155996236334,0.8920443439074166
4,771,36.497016861219194,0.7248035834889754,0.8503637239162049,-3.0108989789834975,0.8396880356703927
5,863,39.20799536500579,-0.09920657606025479,0.9189102945057818,-2.343375611022375,0.9120440706077905
6,708,41.931638418079096,5.271303425875707,0.8791395174682068,5.397179999350912,0.8624580150620526
7,550,44.69163636363637,3.5838569458909095,1.1049730737815264,6.0538283698184445,1.04077404651843
8,342,47.4248538011696,6.020742304678363,1.4035617598026218,8.8860807979024,1.4309694947139902
9,227,50.11233480176212,7.257761104361233,1.63615692501295,17.19672944013549,1.6861097506367229
10,144,52.96041666666667,8.798128850000001,2.7586069021158237,22.751234535375545,2.7299146238899517
11,75,55.766666666666666,6.875241459066666,2.9720655357778414,22.323191740884596,3.123471200582025
12,47,58.50212765957447,13.980344060638297,3.001194129148324,37.44838019330061,3.4404887776611113
13,27,61.162962962962965,4.804514046296298,4.470113612994482,39.3302604910892,6.611378114739207
14,15,63.986666666666665,-5.105667488666669,12.940471544219264,43.96100744566114,16.749794523520578
15,6,67.23333333333333,-15.527104288333334,7.456800597422774,56.198500327873354,12.585559179482456
16,4,69.75,-55.45505208,20.90827793914864,10.287994850127905,14.618678085279827
17,3,72.5,-25.484984466666663,35.29399313540264,61.46492726913519,26.08672989751702
18,2,75.1,-34.239379979999995,19.167932989999997,34.49455381017641,19.992515383668586
19,1,79.2,-29.15171545000001,,80.0206751225428,
